codigo,descricao,tipo_operacao,gera_credito_ibs,gera_credito_cbs,primeira_etapa_cadeia
1101,"Compra para industrialização ou produção rural",ENTRADA,true,true,false
1102,"Compra para comercialização",ENTRADA,true,true,false
1111,"Compra para industrialização de mercadoria recebida anteriormente em consignação industrial",ENTRADA,true,true,false
1113,"Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil",ENTRADA,true,true,false
1116,"Compra para industrialização ou produção rural originada de encomenda para recebimento futuro",ENTRADA,true,true,false
1117,"Compra para comercialização originada de encomenda para recebimento",ENTRADA,true,true,false
1118,"Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem",ENTRADA,true,true,false
1120,"Compra para industrialização, em venda à ordem, já recebida do vendedor remetente",ENTRADA,true,true,false
1121,"Compra para comercialização, em venda à ordem, já recebida do vendedor remetente",ENTRADA,true,true,false
1122,"Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente",ENTRADA,true,true,false
1124,"Industrialização efetuada por outra empresa",ENTRADA,true,true,false
1125,"Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria",ENTRADA,true,true,false
1126,"Compra para utilização na prestação de serviço sujeita ao ICMS",ENTRADA,true,true,false
1128,"Compra para utilização na prestação de serviço sujeita ao ISSQN",ENTRADA,true,true,false
1131,"Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.",ENTRADA,true,true,false
1132,"Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização.",ENTRADA,true,true,false
1135,"Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.",ENTRADA,true,true,false
1150,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",ENTRADA,true,true,false
1151,"Transferência para industrialização ou produção rural",ENTRADA,true,true,false
1152,"Transferência para comercialização",ENTRADA,true,true,false
1153,"Transferência de energia elétrica para distribuição",ENTRADA,true,true,false
1154,"Transferência para utilização na prestação de serviço",ENTRADA,true,true,false
1159,"Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo",ENTRADA,true,true,false
1201,"Devolução de venda de produção do estabelecimento",ENTRADA,true,true,false
1202,"Devolução de venda de mercadoria adquirida ou recebida de terceiros",ENTRADA,true,true,false
1203,"Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio",ENTRADA,true,true,false
1204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio",ENTRADA,true,true,false
1205,"Anulação de valor relativo à prestação de serviço de comunicação",ENTRADA,true,true,false
1206,"Anulação de valor relativo à prestação de serviço de transporte",ENTRADA,true,true,false
1207,"Anulação de valor relativo à venda de energia elétrica",ENTRADA,true,true,false
1208,"Devolução de produção do estabelecimento, remetida em transferência",ENTRADA,true,true,false
1209,"Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência",ENTRADA,true,true,false
1212,"Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).",ENTRADA,true,true,false
1213,"Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.",ENTRADA,false,false,false
1214,"Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.",ENTRADA,true,true,false
1215,"Devolução de fornecimento de produção do estabelecimento de ato cooperativo",ENTRADA,true,true,false
1216,"Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo",ENTRADA,true,true,false
1250,"COMPRAS DE ENERGIA ELÉTRICA",ENTRADA,true,true,false
1251,"Compra de energia elétrica para distribuição ou comercialização",ENTRADA,true,true,false
1252,"Compra de energia elétrica por estabelecimento industrial",ENTRADA,true,true,false
1253,"Compra de energia elétrica por estabelecimento comercial",ENTRADA,true,true,false
1254,"Compra de energia elétrica por estabelecimento prestador de serviço de transporte",ENTRADA,true,true,false
1255,"Compra de energia elétrica por estabelecimento prestador de serviço de comunicação",ENTRADA,true,true,false
1256,"Compra de energia elétrica por estabelecimento de produtor rural",ENTRADA,true,true,false
1257,"Compra de energia elétrica para consumo por demanda contratada",ENTRADA,true,true,false
1301,"Aquisição de serviço de comunicação para execução de serviço da mesma natureza",ENTRADA,true,true,false
1302,"Aquisição de serviço de comunicação por estabelecimento industrial",ENTRADA,true,true,false
1303,"Aquisição de serviço de comunicação por estabelecimento comercial",ENTRADA,true,true,false
1304,"Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte",ENTRADA,true,true,false
1305,"Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica",ENTRADA,true,true,false
1306,"Aquisição de serviço de comunicação por estabelecimento de produtor rural",ENTRADA,true,true,false
1351,"Aquisição de serviço de transporte para execução de serviço da mesma natureza",ENTRADA,true,true,false
1352,"Aquisição de serviço de transporte por estabelecimento industrial",ENTRADA,true,true,false
1353,"Aquisição de serviço de transporte por estabelecimento comercial",ENTRADA,true,true,false
1354,"Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação",ENTRADA,true,true,false
1355,"Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica",ENTRADA,true,true,false
1356,"Aquisição de serviço de transporte por estabelecimento de produtor rural",ENTRADA,true,true,false
1360,"Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte",ENTRADA,true,true,false
