"item_lc116","cclasstrib","nome_cclasstrib"
"01.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.01","200043","Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI)"
"01.01","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"01.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.02","200043","Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI)"
"01.02","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"01.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.04","200043","Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI)"
"01.04","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"01.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.06","200043","Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI)"
"01.06","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"01.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"01.08","200040","Fornecimento de serviços de comunicação institucional à administração pública"
"01.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"02.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"02.01","200016","Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT)"
"03.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"03.03","200027","Operações de locação, cessão onerosa e arrendamento de bens imóveis"
"03.04","200027","Operações de locação, cessão onerosa e arrendamento de bens imóveis"
"03.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"03.05","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"04.01","200029","Fornecimento dos serviços de saúde humana (Anexo III)"
"04.22","011002","Planos de assistência à saúde"
"04.23","011002","Planos de assistência à saúde"
"05.01","200052","Prestação de serviços de profissões intelectuais"
"05.01","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"05.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.02","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"05.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.07","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"05.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"05.09","011005","Planos de assistência à saúde de animais domésticos"
"06.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"06.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"06.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"06.04","200041","Fornecimento de serviço de educação desportiva (art. 141. I)"
"06.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"06.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"06.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.01","200052","Prestação de serviços de profissões intelectuais"
"07.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.01","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"07.02","200046","Operações com bens imóveis"
"07.02","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.02","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"07.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.03","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.04","200046","Operações com bens imóveis"
"07.04","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.05","200046","Operações com bens imóveis"
"07.05","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.05","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"07.06","200046","Operações com bens imóveis"
"07.06","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.07","200046","Operações com bens imóveis"
"07.07","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.08","200046","Operações com bens imóveis"
"07.08","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.10","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.11","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.12","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.13","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.13","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"07.16","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.16","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"07.16","200037","Fornecimento de serviços ambientais de conservação ou recuperação da vegetação nativa"
"07.17","200046","Operações com bens imóveis"
"07.17","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.18","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.18","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.19","200052","Prestação de serviços de profissões intelectuais"
"07.19","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.20","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.20","200045","Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística"
"07.21","000001","Situações tributadas integralmente pelo IBS e CBS."
"07.22","000001","Situações tributadas integralmente pelo IBS e CBS."
"08.01","200028","Fornecimento dos serviços de educação (Anexo II)"
"08.01","200025","Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni)"
"08.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"08.02","200028","Fornecimento dos serviços de educação (Anexo II)"
"09.01","200048","Hotelaria, Parques de Diversão e Parques Temáticos"
"09.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"09.02","200051","Agências de Turismo"
"09.03","200051","Agências de Turismo"
"10.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.01","011003","Intermediação de planos de assistência à saúde"
"10.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.05","200046","Operações com bens imóveis"
"10.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"10.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"11.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"11.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"11.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"11.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"11.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.01","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.02","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.03","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.04","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.05","200048","Hotelaria, Parques de Diversão e Parques Temáticos"
"12.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.07","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.08","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.11","200042","Fornecimento de serviço de educação desportiva (art. 141. II)"
"12.11","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.12","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"12.12","000001","Situações tributadas integralmente pelo IBS e CBS."
"12.13","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
