"item_lc116","nbs","descricao_nbs"
"01.01","1.1502.10.00","Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados)"
"01.01","1.1502.20.00","Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados)"
"01.01","1.1502.40.00","Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados"
"01.01","1.1502.50.00","Serviços de integração de sistemas em tecnologia da informação (TI)"
"01.01","1.1502.90.00","Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores"
"01.01","1.1503.00.00","Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI)"
"01.01","1.1504.00.00","Serviços de projeto e desenvolvimento de topografias de circuitos integrados"
"01.01","1.1505.00.00","Serviços de projeto de circuitos integrados"
"01.01","1.1507.10.00","Serviços de gerenciamento de redes em tecnologia da informação (TI)"
"01.01","1.1507.20.00","Serviços de gerenciamento de sistemas computacionais"
"01.01","1.1507.90.00","Serviços de gerenciamento de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores"
"01.02","1.1502.10.00","Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados)"
"01.02","1.1502.20.00","Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados)"
"01.02","1.1502.90.00","Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores"
"01.03","1.1506.10.00","Serviços de hospedagem de sítios eletrônicos na rede mundial de computadores"
"01.03","1.1506.21.00","Serviços de hospedagem de aplicativos e programas software como serviço (SaaS)"
"01.03","1.1506.22.00","Serviços de fornecimento de infraestrutura como serviço (IaaS)"
"01.03","1.1506.23.00","Serviços de fornecimento de plataformas como serviço (PaaS)"
"01.03","1.1506.29.00","Serviços de hospedagem de aplicativos e programas não classificados em subposições anteriores"
"01.03","1.1506.90.00","Serviços de hospedagem e de disponibilização de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores"
"01.03","1.1509.00.00","Serviços de processamento de dados"
"01.04","1.1502.10.00","Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados)"
